date,description,amount,category,subcategory
2024-06-03,SSA MEDICARE DEDUCT,72.89,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-01-29,FOOT LOCKER #7579,67.13,Personal Care & Apparel,Shoes
2024-05-23,ALLY AUTO PAYMENT,403.54,Transportation & Vehicle,Car payments
2025-03-10,LOCAL BISTRO #4469,116.14,Food & Dining,Dining out
2024-08-04,CHASE MORTGAGE PYMT,1628.39,Housing & Real Estate,Mortgage
2024-03-02,BANFIELD PET HOSPITAL,208.6,Pets,Vet care
2025-10-20,CITY TRASH COLLECTION,35.08,Utilities & Communication,Trash
2024-03-07,LENSCRAFTERS #7927,92.48,Healthcare,Dental/vision care
2025-03-18,SALLIE MAE PAYMENT,418.71,Debts & Loans,Student loans
2024-04-30,STUBHUB TICKETS,262.95,Entertainment & Leisure,Event tickets
2025-08-10,WALMART #5892,25.76,Household,Misc
2024-06-03,HOBBY LOBBY #9743,141.18,Entertainment & Leisure,Hobbies
2025-08-29,UNITEDHEALTH MEDIGAP,239.46,Healthcare,Private supplemental health insurance
2024-12-04,GREAT CLIPS #8155,48.67,Personal Care & Apparel,Salon/barber visits
2025-04-11,UNUM DISABILITY,80.88,Insurance (Non-housing/Non-auto),Disability insurance
2025-05-29,TARGET #1289,26.6,Household,Cleaning supplies
2024-03-28,THE HOME DEPOT #6556,35.93,Household,Cleaning supplies
2025-08-06,TICKETMASTER EVENT,246.5,Entertainment & Leisure,Event tickets
2025-06-27,GREYSTAR PROPERTY MGMT,2530.25,Housing & Real Estate,Rent
2025-11-28,GRUBHUB ORDER #5904,45.41,Food & Dining,Meal delivery services
2024-11-25,WASTE MANAGEMENT INC,64.96,Utilities & Communication,Trash
2024-09-03,LOCAL COMMUNITY COLLEGE,163.57,Entertainment & Leisure,Classes
2025-10-20,HULU SUBSCRIPTION,53.83,Utilities & Communication,Cable/streaming services
2025-05-23,NEW YORK TIMES SUB,40.63,Entertainment & Leisure,Books/Periodicals
2025-08-10,T-MOBILE PAYMENT,106.97,Utilities & Communication,Cell phone
2024-02-22,CHICK-FIL-A #6095,5.9,Food & Dining,Fast food
2024-12-18,TRIPADVISOR EXPERIENCES,467.99,Travel & Vacations,Tour packages
2024-05-23,APPLE.COM/BILL,13.16,Entertainment & Leisure,Apps/services
2025-02-24,REGIONAL MEDICAL CTR,242.12,Healthcare,Out-of-pocket medical costs
2025-02-05,GUARDIAN DISABILITY INS,138.67,Insurance (Non-housing/Non-auto),Disability insurance
2024-05-22,STARBUCKS #2088,11.87,Food & Dining,Coffee shops
2024-08-26,CITY WATER UTILITY,94.5,Utilities & Communication,Water/sewer
2025-07-17,TRUPANION PET INSURANCE,52.92,Pets,Pet insurance
2025-07-16,STATE FARM UMBRELLA,17.81,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-12-30,NEW YORK TIMES SUB,11.32,Entertainment & Leisure,Books/Periodicals
2025-10-29,WORLD NOMADS INSURANCE,107.01,Travel & Vacations,Travel insurance
2025-09-24,T-MOBILE PAYMENT,56.48,Utilities & Communication,Cell phone
2024-05-09,LENSCRAFTERS #331,365.69,Healthcare,Dental/vision care
2025-11-17,HULU SUBSCRIPTION,74.68,Utilities & Communication,Cable/streaming services
2025-09-23,TARGET #2737,17.57,Household,Cleaning supplies
2025-12-05,LOCAL BARBER SHOP,69.51,Personal Care & Apparel,Salon/barber visits
2024-07-03,GAP #5283,191.79,Personal Care & Apparel,Clothing
2025-06-21,LENSCRAFTERS #9759,489.24,Healthcare,Dental/vision care
2024-04-12,MASTERCLASS.COM,48.37,Entertainment & Leisure,Classes
2025-07-21,CITY WATER UTILITY,121.28,Utilities & Communication,Water/sewer
2024-05-09,CIGNA SUPP HEALTH,145.71,Healthcare,Private supplemental health insurance
2024-03-28,ASPEN DENTAL #8564,476.11,Healthcare,Dental/vision care
2024-11-19,USAA HOMEOWNERS,232.61,Housing & Real Estate,Homeowner's Insurance
2025-09-26,THE HOME DEPOT #3942,13.2,Household,Cleaning supplies
2024-01-06,IHERB.COM,60.76,Personal Care & Apparel,Supplements/vitamins
2025-07-07,KINDERCARE LEARNING CTR,640.55,Family & Dependent Support,Childcare
2024-02-13,OLIVE GARDEN #7372,62.19,Food & Dining,Dining out
2025-09-02,MUNICIPAL WATER DEPT,115.18,Utilities & Communication,Water/sewer
2025-01-28,TARGET #5373,49.34,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-01-11,KINDERCARE LEARNING CTR,313.5,Family & Dependent Support,Childcare
2024-04-03,AMAZON.COM OFFICE,10.74,Household,Office Expenses
2025-07-04,VCA ANIMAL HOSPITAL,177.95,Pets,Vet care
2025-06-10,WAYFAIR.COM,381.74,Household,Furniture
2024-11-28,ZELLE TRANSFER TO FAMILY,524.68,Family & Dependent Support,Routine family financial assistance.
2025-01-17,BANFIELD PET HOSPITAL,171.79,Pets,Vet care
2024-08-31,KROGER #1921,174.12,Food & Dining,Groceries
2025-10-04,CHICK-FIL-A #596,14.96,Food & Dining,Fast food
2024-01-04,TRUPANION PET INSURANCE,63.02,Pets,Pet insurance
2024-09-27,RITE AID PHARMACY,49.68,Healthcare,Prescriptions
2025-02-19,USAA UMBRELLA POLICY,28.86,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-10-25,COSTCO WHOLESALE #2460,23.5,Household,Cleaning supplies
2024-03-05,SOFI PERSONAL LOAN,285.48,Debts & Loans,Personal installment loans
2024-06-14,COMMUNITY HOA FEE,590.91,Housing & Real Estate,HOA fees
2024-05-29,VENMO FAMILY SUPPORT,110.17,Family & Dependent Support,Routine family financial assistance.
2025-01-28,MUTUAL OF OMAHA LTC,256.82,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2025-06-23,SPECTRUM CABLE TV,71.21,Utilities & Communication,Cable/streaming services
2024-03-11,GREYSTAR PROPERTY MGMT,1828.99,Housing & Real Estate,Rent
2024-10-04,LENSCRAFTERS #5864,363.31,Healthcare,Dental/vision care
2025-10-13,LOCAL DAYCARE CENTER,629.37,Family & Dependent Support,Childcare
2025-12-24,PETSMART GROOMING #2124,27.3,Pets,Grooming
2025-11-29,TRAVELEX INSURANCE,27.51,Travel & Vacations,Travel insurance
2025-12-17,EQUINOX CLUB DUES,68.88,Entertainment & Leisure,Gym/club memberships
2024-05-27,TRADER JOE'S #8543,132.88,Food & Dining,Groceries
2025-02-14,BASKIN ROBBINS #8542,7.9,Food & Dining,Snacks & Desserts
2024-04-13,HOME INSTEAD SENIOR CARE,1010.63,Family & Dependent Support,Elder care support
2025-05-12,HULU SUBSCRIPTION,85.71,Utilities & Communication,Cable/streaming services
2025-08-10,DSW #1558,165.57,Personal Care & Apparel,Shoes
2025-05-19,PROGRESSIVE INSURANCE,141.19,Transportation & Vehicle,Auto insurance
2025-05-24,CON EDISON UTILITY,210.29,Utilities & Communication,Electricity
2025-01-31,PETCO #6226,30.24,Pets,Pet food & supplies
2024-04-05,NIKE STORE #4495,161.16,Personal Care & Apparel,Shoes
2024-09-29,DELTA AIR LINES,632.35,Travel & Vacations,Flights
2025-03-03,T-MOBILE PAYMENT,123.69,Utilities & Communication,Cell phone
2025-04-02,STATE FARM UMBRELLA,42.7,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-06-17,MONTESSORI ACADEMY,3789.9,Family & Dependent Support,Child education/tuition
2025-01-05,T-MOBILE PAYMENT,139.0,Utilities & Communication,Cell phone
2024-09-22,APPLE.COM/BILL,15.81,Entertainment & Leisure,Apps/services
2024-02-27,SOFI PERSONAL LOAN,95.56,Debts & Loans,Personal installment loans
2024-03-03,NORWEGIAN CRUISE LINE,991.53,Travel & Vacations,Cruises
2025-04-25,WHOLE FOODS MKT #8849,64.03,Food & Dining,Groceries
2025-04-19,SHELL OIL #472,88.6,Transportation & Vehicle,Gas/fuel
2025-08-03,OLIVE GARDEN #6101,63.46,Food & Dining,Dining out
2024-08-31,PROPERTY TAX ESCROW,619.66,Housing & Real Estate,Property Taxes
2024-06-26,TARGET #3003,64.73,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-04-10,ASHLEY FURNITURE,971.17,Household,Furniture
2025-04-06,AETNA SUPPLEMENTAL,183.68,Healthcare,Private supplemental health insurance
2024-02-06,BARNES & NOBLE #3032,56.42,Entertainment & Leisure,Books/Periodicals
2024-09-18,REPUBLIC SERVICES,35.63,Utilities & Communication,Trash
2025-02-14,COMCAST XFINITY,81.81,Utilities & Communication,Internet
2024-05-28,MONTESSORI ACADEMY,3232.22,Family & Dependent Support,Child education/tuition
2024-11-07,WALGREENS RX #2137,89.68,Healthcare,Prescriptions
2025-09-14,LOCAL PET GROOMER,82.1,Pets,Grooming
2025-12-14,OFFICE DEPOT #5842,92.47,Household,Office Expenses
2025-03-30,NORTHWESTERN MUTUAL,230.94,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-07-28,LOCAL VETERINARY CLINIC,678.08,Pets,Vet care
2025-06-30,TARGET #6939,63.29,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-04-15,AMAZON.COM BOOKS,16.18,Entertainment & Leisure,Books/Periodicals
2025-05-29,BASKIN ROBBINS #2716,9.3,Food & Dining,Snacks & Desserts
2024-04-29,HOBBY LOBBY #2031,55.33,Entertainment & Leisure,Hobbies
2024-05-20,BASKIN ROBBINS #7839,3.81,Food & Dining,Snacks & Desserts
2024-03-11,LOWE'S #7529,1114.11,Household,Appliances
2025-11-04,USAA HOMEOWNERS,102.14,Housing & Real Estate,Homeowner's Insurance
2025-02-23,NATIONWIDE PET INS,38.79,Pets,Pet insurance
2025-05-24,AMEX BILL PAYMENT,77.21,Debts & Loans,Credit card balances
2024-05-12,RED CROSS DONATION,31.45,Gifts & Charity,Charitable donations
2025-01-05,WALGREENS RX #988,41.89,Healthcare,Prescriptions
2025-02-17,GNC #6914,42.58,Personal Care & Apparel,Supplements/vitamins
2024-03-23,TOYOTA FINANCIAL SVC,369.99,Transportation & Vehicle,Car payments
2025-10-24,METRO TRANSIT FARE,17.91,Transportation & Vehicle,Public transit/ride-sharing
2025-07-23,CIGNA SUPP HEALTH,364.03,Healthcare,Private supplemental health insurance
2024-10-21,LOCAL VETERINARY CLINIC,651.64,Pets,Vet care
2025-03-16,COMMUNITY HOA FEE,398.64,Housing & Real Estate,HOA fees
2024-07-24,GAP #2570,43.16,Personal Care & Apparel,Clothing
2025-08-28,SOUTHWEST AIRLINES,664.15,Travel & Vacations,Flights
2025-09-08,T-MOBILE PAYMENT,59.66,Utilities & Communication,Cell phone
2024-06-14,LOWE'S #7948,458.2,Household,Appliances
2024-02-08,TARGET #7623,45.28,Household,Cleaning supplies
2024-12-11,PRIVATE SCHOOL TUITION,3274.79,Family & Dependent Support,Child education/tuition
2025-09-23,FIRESTONE COMPLETE AUTO,588.45,Transportation & Vehicle,Vehicle maintenance & repairs
2024-06-10,DUKE ENERGY PAYMT,209.07,Utilities & Communication,Electricity
2025-08-25,COUNTY TAX COLLECTOR,1448.07,Housing & Real Estate,
2024-10-16,GUARDIAN DISABILITY INS,129.95,Insurance (Non-housing/Non-auto),Disability insurance
2024-08-23,WALMART #3710,69.31,Household,Misc
2025-10-22,GOOGLE PLAY APPS,18.1,Entertainment & Leisure,Apps/services
2024-12-19,SALLIE MAE PAYMENT,467.18,Debts & Loans,Student loans
2024-01-12,NEW YORK TIMES SUB,15.14,Entertainment & Leisure,Books/Periodicals
2024-04-05,MARRIOTT HOTELS #1328,368.99,Travel & Vacations,Lodging
2024-09-14,TARGET #1300,10.82,Household,Cleaning supplies
2024-05-29,UBER EATS,57.96,Food & Dining,Meal delivery services
2024-02-02,VENMO FAMILY SUPPORT,397.76,Family & Dependent Support,Routine family financial assistance.
2024-10-15,ZELLE TRANSFER TO FAMILY,779.25,Family & Dependent Support,Routine family financial assistance.
2024-03-25,FIRST BAPTIST CHURCH,70.23,Gifts & Charity,Tithing
2025-07-31,ROYAL CARIBBEAN CRUISE,2576.4,Travel & Vacations,Cruises
2025-07-18,DUNKIN' #5744,4.16,Food & Dining,Coffee shops
2025-07-28,GRUBHUB ORDER #2362,38.34,Food & Dining,Meal delivery services
2024-09-23,DUNKIN' #2029,5.36,Food & Dining,Coffee shops
2024-11-27,IKEA #753,1962.34,Household,Furniture
2024-11-04,TARGET #4848,48.92,Household,Cleaning supplies
2024-05-23,LENDINGCLUB PAYMENT,388.84,Debts & Loans,Personal installment loans
2024-06-05,MEDICARE PREMIUM,121.29,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-06-11,CHICK-FIL-A #2242,20.21,Food & Dining,Fast food
2025-07-31,UNITEDHEALTH MEDIGAP,300.84,Healthcare,Private supplemental health insurance
2024-08-28,PRIVATE SCHOOL TUITION,800.19,Family & Dependent Support,Child education/tuition
2025-05-16,GUITAR CENTER #2938,115.43,Entertainment & Leisure,Hobbies
2024-10-30,FOOT LOCKER #3887,95.8,Personal Care & Apparel,Shoes
2025-04-16,HOA MGMT ASSOC #3369,517.46,Housing & Real Estate,HOA fees
2024-08-28,USAA HOMEOWNERS,98.35,Housing & Real Estate,Homeowner's Insurance
2024-03-21,JOHN HANCOCK LTC,171.58,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-10-13,GOOGLE PLAY APPS,4.34,Entertainment & Leisure,Apps/services
2025-06-23,SOUTHWEST AIRLINES,290.67,Travel & Vacations,Flights
2024-05-19,COSTCO WHOLESALE #2661,35.74,Household,Cleaning supplies
2025-03-06,CMS MEDICARE PART B,69.96,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-04-19,AMAZON.COM,38.82,Household,Misc
2024-11-18,REI CO-OP #4878,145.28,Entertainment & Leisure,Recreational equipment
2025-03-31,TRAVELERS UMBRELLA,19.39,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-06-18,SUPERCUTS #7788,104.45,Personal Care & Apparel,Salon/barber visits
2024-06-10,UNITED AIRLINES,371.63,Travel & Vacations,Flights
2025-07-25,SUPERCUTS #6405,30.61,Personal Care & Apparel,Salon/barber visits
2024-04-18,ETSY.COM ORDER,118.26,Gifts & Charity,Holiday/birthday gifts
2024-03-28,STATE FARM AUTO,202.31,Transportation & Vehicle,Auto insurance
2024-03-28,REPUBLIC SERVICES,23.36,Utilities & Communication,Trash
2024-07-13,ST JUDE DONATION,351.55,Gifts & Charity,Charitable donations
2024-01-21,AETNA SUPPLEMENTAL,159.81,Healthcare,Private supplemental health insurance
2024-06-06,NAVIENT LOAN PYMT,397.77,Debts & Loans,Student loans
2025-04-29,JOHN HANCOCK LTC,74.74,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2025-06-19,NORWEGIAN CRUISE LINE,2019.95,Travel & Vacations,Cruises
2024-09-21,EXPEDIA TOUR PACKAGE,679.86,Travel & Vacations,Tour packages
2025-12-18,COMFORT KEEPERS,605.28,Family & Dependent Support,Elder care support
2024-09-20,UNIVERSITY TUITION PYMT,4672.85,Family & Dependent Support,Child education/tuition
2024-01-08,KINDERCARE LEARNING CTR,776.85,Family & Dependent Support,Childcare
2024-08-15,GAP #5599,149.16,Personal Care & Apparel,Clothing
2025-12-15,ALLY AUTO PAYMENT,256.86,Transportation & Vehicle,Car payments
2024-11-04,AETNA SUPPLEMENTAL,130.57,Healthcare,Private supplemental health insurance
2024-02-23,VENMO FAMILY SUPPORT,199.04,Family & Dependent Support,Routine family financial assistance.
2024-12-29,AETNA SUPPLEMENTAL,246.26,,
2024-10-29,DMV VEHICLE REG,206.06,Transportation & Vehicle,Registration/licensing
2025-07-02,JIFFY LUBE #8773,661.09,Transportation & Vehicle,Vehicle maintenance & repairs
2025-10-29,CVS PHARMACY #2970,89.99,,
2024-03-10,TRADER JOE'S #8676,214.8,Food & Dining,Groceries
2025-02-27,7-ELEVEN #3914,2.94,Food & Dining,Snacks & Desserts
2025-06-03,QUEST DIAGNOSTICS,561.86,Healthcare,Out-of-pocket medical costs
2024-09-22,NEW YORK TIMES SUB,48.72,Entertainment & Leisure,Books/Periodicals
2025-01-10,TARGET #2657,40.61,Gifts & Charity,Holiday/birthday gifts
2025-04-15,CHASE MORTGAGE PYMT,2491.41,Housing & Real Estate,Mortgage
2025-12-27,MASSMUTUAL LIFE,218.72,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-09-13,LOCAL COMMUNITY COLLEGE,94.1,Entertainment & Leisure,Classes
2025-08-23,DELTA AIR LINES,137.09,Travel & Vacations,Flights
2025-03-24,THE HOME DEPOT #1517,22.64,Household,Cleaning supplies
2025-12-21,COMCAST XFINITY,69.71,Utilities & Communication,Internet
2024-12-18,NORDSTROM #4176,61.38,Personal Care & Apparel,Clothing
2024-08-30,HOME INSTEAD SENIOR CARE,1416.55,Family & Dependent Support,Elder care support
2025-01-23,TRAVELERS UMBRELLA,49.71,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-01-04,HILTON HOTELS #8143,168.33,Travel & Vacations,Lodging
2024-01-17,SHELL OIL #6968,64.97,Transportation & Vehicle,Gas/fuel
2025-02-09,GEICO AUTO INSURANCE,141.79,Transportation & Vehicle,Auto insurance
2024-12-17,ULTA BEAUTY #4167,30.43,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-03-07,MUNICIPAL WATER DEPT,35.76,Utilities & Communication,Water/sewer
2025-03-21,GEICO AUTO INSURANCE,100.76,Transportation & Vehicle,Auto insurance
2025-05-17,METRO TRANSIT FARE,32.19,Transportation & Vehicle,Public transit/ride-sharing
2024-09-16,CHASE CARD PAYMENT,1058.7,Debts & Loans,Credit card balances
2024-02-08,MUTUAL OF OMAHA LTC,148.07,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2025-10-14,PETCO #6837,43.37,Pets,Pet food & supplies
2024-12-12,PETCO BIRD SUPPLIES,20.03,Pets,Bird supplies
2025-11-05,MASTERCLASS.COM,341.44,Entertainment & Leisure,Classes
2024-07-14,ST MARY'S PARISH TITHE,158.8,Gifts & Charity,Tithing
2025-12-23,COMMUNITY HOA FEE,348.83,Housing & Real Estate,HOA fees
2025-03-21,STATE FARM UMBRELLA,56.33,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-06-26,UNITED AIRLINES,849.46,Travel & Vacations,Flights
2025-05-16,LOCAL VETERINARY CLINIC,241.25,Pets,Vet care
2025-12-09,METRO TRANSIT FARE,41.79,Transportation & Vehicle,Public transit/ride-sharing
2024-07-23,OLD NAVY #176,22.73,Personal Care & Apparel,Clothing
2024-05-17,COLD STONE CREAMERY,11.44,Food & Dining,Snacks & Desserts
2024-12-17,ALLSTATE HOME INS,243.3,Housing & Real Estate,Homeowner's Insurance
2025-09-18,TRUPANION PET INSURANCE,49.79,Pets,Pet insurance
2025-01-26,STATE DMV FEE,137.36,Transportation & Vehicle,Registration/licensing
2025-01-28,AT&T MOBILITY,109.26,Utilities & Communication,Cell phone
2025-01-04,IHERB.COM,29.91,Personal Care & Apparel,Supplements/vitamins
2024-01-16,NORTHWESTERN MUTUAL,90.2,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-10-12,EQUINOX CLUB DUES,175.54,Entertainment & Leisure,Gym/club memberships
2024-03-05,EQUINOX CLUB DUES,131.57,Entertainment & Leisure,Gym/club memberships
2025-12-13,LA FITNESS MEMBERSHIP,21.49,Entertainment & Leisure,Gym/club memberships
2024-12-12,NORTHWESTERN MUTUAL,98.5,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-07-04,AMAZON.COM,95.89,Household,Misc
2024-10-20,AMAZON.COM OFFICE,101.86,Household,Office Expenses
2025-04-01,IHERB.COM,58.17,Personal Care & Apparel,Supplements/vitamins
2025-11-15,COMCAST XFINITY,77.52,Utilities & Communication,Internet
2024-02-06,WORLD NOMADS INSURANCE,75.57,Travel & Vacations,Travel insurance
2025-02-22,OFFICE DEPOT #9902,132.75,Household,Office Expenses
2025-05-25,MUTUAL OF OMAHA LTC,61.78,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-04-12,DELTA AIR LINES,879.7,Travel & Vacations,Flights
2024-03-30,STUBHUB TICKETS,97.27,Entertainment & Leisure,Event tickets
2025-05-09,MASSMUTUAL LIFE,35.49,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-07-29,COMFORT KEEPERS,820.08,Family & Dependent Support,Elder care support
2024-08-01,CHEWY.COM BIRD,41.22,Pets,Bird supplies
2024-03-15,WALMART #8394,15.11,Household,Misc
2025-10-04,CARNIVAL CRUISE LINE,924.99,Travel & Vacations,Cruises
2024-01-09,TRAVELEX INSURANCE,46.65,Travel & Vacations,Travel insurance
2024-08-15,APPLE.COM/BILL,3.26,Entertainment & Leisure,Apps/services
2024-07-30,HOBBY LOBBY #5210,75.18,Entertainment & Leisure,Hobbies
2025-11-19,SOCALGAS PAYMENT,82.13,Utilities & Communication,Gas
2025-08-09,GNC #5034,39.43,Personal Care & Apparel,Supplements/vitamins
2025-10-05,CENTERPOINT ENERGY,154.94,Utilities & Communication,Gas
2025-03-31,MONTESSORI ACADEMY,1501.99,Family & Dependent Support,Child education/tuition
2025-10-07,PETCO GROOMING SALON,50.99,Pets,Grooming
2025-02-23,PG&E ELECTRIC BILL,218.94,Utilities & Communication,Electricity
2025-04-22,FIRESTONE COMPLETE AUTO,799.22,Transportation & Vehicle,Vehicle maintenance & repairs
2025-09-06,ALLIANZ TRAVEL INS,137.46,Travel & Vacations,Travel insurance
2025-06-13,TREASURER TAX OFC,1557.6,Housing & Real Estate,Property Taxes
2025-11-04,REI CO-OP #5588,20.7,Entertainment & Leisure,Recreational equipment
2024-12-01,LA FITNESS MEMBERSHIP,172.04,Entertainment & Leisure,Gym/club memberships
2024-11-02,TRUPANION PET INSURANCE,19.66,Pets,Pet insurance
2024-02-22,REPUBLIC SERVICES,63.4,Utilities & Communication,Trash
2025-05-27,GAP #7836,197.33,Personal Care & Apparel,Clothing
2025-05-27,PETCO GROOMING SALON,56.14,Pets,Grooming
2024-09-11,AMAZON.COM BOOKS,19.67,Entertainment & Leisure,Books/Periodicals
2024-05-06,NATIONAL GRID GAS,65.99,Utilities & Communication,Gas
2025-07-02,EXPEDIA TOUR PACKAGE,641.45,Travel & Vacations,Tour packages
2024-06-23,LOWE'S #7823,1574.41,Household,Appliances
